'Elapsed time','I','II','III','AVR','AVL','AVF','V1','V2','V3','V4','V5','V6'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV'
'0:08.805',-0.047,-0.119,-0.072,0.083,0.013,-0.096,0.044,-0.069,-0.119,-0.137,-0.119,-0.088
'0:08.806',-0.044,-0.119,-0.075,0.081,0.016,-0.097,0.047,-0.066,-0.119,-0.134,-0.119,-0.091
'0:08.807',-0.041,-0.119,-0.078,0.080,0.019,-0.099,0.050,-0.063,-0.113,-0.131,-0.119,-0.088
'0:08.808',-0.041,-0.114,-0.074,0.077,0.016,-0.094,0.044,-0.063,-0.109,-0.131,-0.119,-0.088
'0:08.809',-0.041,-0.112,-0.072,0.077,0.016,-0.093,0.044,-0.063,-0.106,-0.131,-0.119,-0.088
'0:08.810',-0.041,-0.114,-0.073,0.077,0.016,-0.094,0.047,-0.059,-0.109,-0.131,-0.119,-0.091
'0:08.811',-0.050,-0.116,-0.066,0.083,0.008,-0.091,0.044,-0.063,-0.106,-0.131,-0.119,-0.088
'0:08.812',-0.051,-0.116,-0.064,0.084,0.006,-0.090,0.053,-0.056,-0.106,-0.131,-0.112,-0.088
'0:08.813',-0.050,-0.116,-0.066,0.083,0.008,-0.091,0.050,-0.056,-0.106,-0.125,-0.112,-0.088
'0:08.814',-0.046,-0.112,-0.067,0.079,0.011,-0.090,0.047,-0.047,-0.106,-0.122,-0.116,-0.084
'0:08.815',-0.037,-0.116,-0.078,0.077,0.020,-0.097,0.044,-0.044,-0.106,-0.119,-0.119,-0.081
'0:08.816',-0.039,-0.119,-0.080,0.079,0.021,-0.099,0.044,-0.041,-0.097,-0.119,-0.119,-0.081
'0:08.817',-0.041,-0.122,-0.081,0.081,0.020,-0.102,0.050,-0.044,-0.094,-0.119,-0.112,-0.081
'0:08.818',-0.045,-0.123,-0.078,0.084,0.016,-0.101,0.044,-0.041,-0.094,-0.119,-0.109,-0.078
'0:08.819',-0.044,-0.122,-0.078,0.083,0.017,-0.100,0.044,-0.038,-0.088,-0.113,-0.106,-0.075
